;distrteg;v1_btravdist;v1_btravmtp;mode;poids_qind1
0;51.4;65.0;3.30;3;1310.9040608
1;;70.0;3.30;3;1313.0653941
3;12.0;12.0;3.32;3;1233.8293495
4;;30.0;3.30;3;320.08174428
5;23.1;25.0;3.30;3;319.55488298
6;;;;;328.8003712
7;12.0;15.0;3.30;3;328.25915885
8;12.0;12.0;5.57;5;675.16357715
9;23.1;22.0;3.30;3;337.27417345
10;49.1;58.0;3.30;3;318.27918484
11;49.1;58.0;3.30;3;318.80394285
12;7.3;5.0;3.32;3;599.13186836
13;;60.0;3.30;3;904.80920704
14;31.1;30.0;3.30;3;906.30099759
15;;4.0;4.43;4;913.36769414
16;20.3;18.0;3.31;3;315.23997948
17;;15.0;3.30;3;315.75972665
18;17.4;25.0;3.32;3;926.98157081
20;17.4;25.0;3.31;3;926.98157081
21;;17.0;3.31;3;261.99954507
22;;45.0;3.30;3;262.43151288
23;2.6;3.0;5.53;5;541.24858522
24;2.6;3.0;3.32;3;261.32390581
25;15.2;15.0;5.52;5;585.41252605
26;;26.0;3.30;3;586.37771614
27;15.2;15.0;5.52;5;1173.8250585
28;;30.0;3.30;3;185.84144934
29;;20.0;3.30;3;609.36066194
30;;30.0;3.30;3;613.13432259
31;;1.0;1.10;1;282.27491421
32;15.2;15.0;3.30;3;282.74031072
33;12.4;15.0;4.43;4;835.91820504
34;;0.3;1.10;1;308.35272341
35;;37.0;3.30;3;307.84516833
36;;35.0;3.30;3;495.98808223
37;;53.0;3.30;3;303.92833781
38;22.8;20.0;3.30;3;303.42806536
39;;20.0;3.30;3;313.06736914
40;;20.0;3.30;3;313.58353425
41;11.3;12.0;4.43;4;719.71457492
42;;;;;370.64735593
43;;24.0;4.41;4;1184.8528526
44;;11.0;3.30;3;331.67771473
46;37.2;50.0;3.30;3;170.9153551
47;;30.0;3.30;3;502.91667533
48;;1.0;3.32;3;1424.2501741
49;;8.0;3.30;3;505.23832352
50;;40.0;3.30;3;257.85044081
51;22.8;27.0;3.30;3;256.26344751
52;;1.0;3.32;3;259.4538398
53;;1.0;3.32;3;256.35988642
54;;1.5;3.32;3;257.11860161
55;;50.0;3.30;3;319.91348143
56;42.0;53.0;3.30;3;319.3868971
57;;53.0;3.30;3;315.91285738
59;;65.0;2.24;2;215.57875195
60;16.0;20.0;3.30;3;215.22390478
61;19.0;25.0;3.30;3;212.88286826
63;7.5;7.0;2.24;2;494.78098458
64;;20.0;2.24;2;247.39049229
65;;0.0;1.10;1;737.59136084
66;;40.0;3.30;3;244.43368111
68;49.7;60.0;3.30;3;318.3751164
70;;30.0;3.30;3;318.90003258
71;5.6;5.0;3.30;3;321.92423806
72;;;;;322.4550058
73;;12.0;4.43;4;635.55613739
74;13.4;15.0;3.31;3;604.90988314
76;;40.0;3.30;3;608.65598092
77;13.4;15.0;3.32;3;606.92847445
78;13.4;15.0;3.32;3;606.92847445
79;;;;;285.03297347
80;38.0;40.0;3.30;3;285.50291729
81;;0.0;;;571.52662759
82;10.8;12.0;3.30;3;268.60609316
83;;45.0;3.30;3;263.14473092
84;18.8;21.0;3.30;3;262.71158915
85;;0.6;3.32;3;247.26543981
86;3.3;3.5;3.32;3;262.80962214
87;18.8;21.0;3.32;3;262.03411367
88;;65.0;5.57;5;268.60609316
89;9.0;15.0;3.30;3;312.79564977
90;0.0;3.0;3.32;3;630.46921966
91;33.0;40.0;3.30;3;284.61174524
92;;37.0;3.30;3;284.1432683
93;4.4;5.0;5.52;5;560.96738524
94;;65.0;3.30;3;163.78417378
95;;38.0;3.30;3;326.2922949
96;;62.0;3.31;3;305.08263397
97;;62.0;3.32;3;303.68073211
98;0.0;0.3;1.10;1;303.79501542
99;9.2;7.0;3.30;3;321.30443188
100;9.2;5.0;3.30;3;321.83417772
101;9.2;5.0;5.52;5;663.76286695
102;;42.0;3.30;3;245.57374287
103;;;;;245.16952331
104;23.3;30.0;3.31;3;303.01540735
105;;37.0;3.31;3;302.5166376
106;9.2;12.0;3.32;3;597.24085037
107;;50.0;3.30;3;311.66938813
108;;50.0;3.30;3;311.15637375
109;;23.0;3.30;3;354.81885385
