;subjective_gain_numeric_fuel;subjective_gain_numeric_chauffage;subjective_gain_numeric_taxe_carbone
0;-277.3601337834807;-285.9427086262913;-505.02024993174945
1;-385.5603885900517;-301.98564342326654;-535.8767380446197
2;-403.2942604051059;-263.5094786805571;-405.5885722240391
3;-179.95893369320444;-371.52447746489696;-385.4612103106506
4;-620.0105692176203;-357.5622903826252;-928.3649331895629
5;-421.2587119765485;-265.2783214979577;-365.4491835054423
6;-248.67400773746976;-195.9996471061216;-411.29072655277196
7;-179.95893369320444;-160.05695350597898;-280.11435919710675
8;-277.3601337834807;-160.05695350597898;-280.11435919710675
9;-161.86586489443926;-264.7919886415102;-280.11435919710675
10;-385.5603885900517;-310.3286457782783;-487.1273752781999
11;-620.0105692176203;-368.5184554719376;-604.420531528744
12;-385.5603885900517;-291.6226344223219;-432.034576365028
13;-277.3601337834807;-391.7633307733031;-280.11435919710675
14;-261.64808162939244;-239.33474892905656;-928.3649331895629
15;-251.77045136649244;-357.5622903826252;-280.11435919710675
16;-248.67400773746976;-262.2368076179332;-651.1106988622079
17;-277.3601337834807;-249.2590388546596;-280.11435919710675
18;-237.43322123804262;-308.8967757407522;-388.122367414717
19;-161.86586489443926;-160.05695350597898;-388.122367414717
20;-277.3601337834807;-351.3094294005289;-438.78795184793677
21;-161.86586489443926;-503.35052126320744;-432.034576365028
22;-177.59094863923693;-465.5885722240391;-365.4491835054423
23;-421.2587119765485;-160.05695350597898;-651.1106988622079
24;-161.86586489443926;-515.4713024746252;-280.11435919710675
25;-477.95739321943864;-462.787338817473;-535.8767380446197
26;-385.5603885900517;-283.04929703199514;-280.11435919710675
27;-210.3187600068577;-332.9233650475403;-280.11435919710675
28;-277.3601337834807;-494.3606671743358;-570.0105692176203
29;-161.86586489443926;-317.0103279494001;-390.90741735434153
30;-163.16534970774228;-245.32521829726738;-280.11435919710675
31;-216.5931108742534;-541.1919427624438;-670.4017928451922
32;-385.5603885900517;-228.8872421354014;-468.6514533800871
33;-385.5603885900517;-451.5830095810422;-391.586775983083
34;-237.43322123804262;-256.3431001673301;-280.11435919710675
35;-237.43322123804262;-374.6628181737019;-597.6015713287527
36;-385.5603885900517;-178.47866846130464;-280.11435919710675
37;-385.5603885900517;-249.2590388546596;-360.56965784366514
38;-277.3601337834807;-160.05695350597898;-505.02024993174945
39;-161.86586489443926;-326.3148413792637;-505.02024993174945
40;-161.86586489443926;-364.8363666745263;-280.11435919710675
41;-277.3601337834807;-321.55223927130464;-280.11435919710675
42;-237.43322123804262;-305.2632347087633;-505.02024993174945
43;-161.86586489443926;-317.0103279494001;-285.26560336459363
44;-253.8510412230762;-279.13753455724935;-409.43634763253976
45;-161.86586489443926;-232.15852625505886;-379.2021188092017
46;-161.86586489443926;-251.67526063160372;-280.11435919710675
47;-277.3601337834807;-329.20150728928013;-289.6513900043892
48;-161.86586489443926;-280.2511915189589;-670.4017928451922
49;-277.3601337834807;-160.05695350597898;-476.6744031296903
50;-161.86586489443926;-269.957829785445;-281.2228757642352
51;-385.5603885900517;-160.05695350597898;-280.11435919710675
52;-421.2587119765485;-397.1785146177672;-670.4017928451922
53;-177.59094863923693;-377.5128909474056;-570.0105692176203
54;-216.5931108742534;-286.14879814731677;-670.4017928451922
55;-277.3601337834807;-211.5017425137312;-597.6015713287527
56;-237.43322123804262;-245.32521829726738;-476.6744031296903
57;-385.5603885900517;-160.05695350597898;-327.76542769001446
58;-161.86586489443926;-160.05695350597898;-505.02024993174945
59;-277.3601337834807;-462.787338817473;-291.70770660628455
60;-194.3501881563619;-160.05695350597898;-350.8224470653922
61;-179.95893369320444;-207.22326650021236;-280.11435919710675
62;-277.3601337834807;-364.264341270828;-432.034576365028
63;-161.86586489443926;-279.13753455724935;-280.11435919710675
64;-253.8510412230762;-160.05695350597898;-371.67125314856577
65;-263.34128543179486;-229.30842309840318;-535.8767380446197
66;-161.86586489443926;-291.6226344223219;-280.11435919710675
67;-277.3601337834807;-394.1795677417231;-670.4017928451922
68;-248.67400773746976;-442.49488440031655;-405.5885722240391
69;-277.3601337834807;-169.8139803033389;-505.02024993174945
70;-210.3187600068577;-323.73463334890494;-408.9421976800986
71;-251.77045136649244;-271.60442890528975;-461.3337259932479
72;-187.39738963520722;-160.05695350597898;-280.11435919710675
73;-277.3601337834807;-386.22520373813313;-350.8224470653922
74;-187.39738963520722;-161.70529110345856;-526.657529828099
75;-277.3601337834807;-494.3606671743358;-380.2703041403179
76;-161.86586489443926;-283.04929703199514;-651.1106988622079
77;-277.3601337834807;-218.2014979459709;-280.11435919710675
78;-161.86586489443926;-520.0172132490006;-280.11435919710675
79;-161.86586489443926;-289.5297445875761;-670.4017928451922
80;-210.3187600068577;-160.05695350597898;-350.8224470653922
81;-190.2350318186038;-520.0172132490006;-415.9597976278542
82;-161.86586489443926;-214.74449585693068;-577.5510567631457
83;-385.5603885900517;-397.7317007804456;-396.58993215018137
84;-277.3601337834807;-520.0172132490006;-461.3337259932479
85;-161.86586489443926;-160.05695350597898;-526.657529828099
86;-385.5603885900517;-374.6628181737019;-399.8889035435077
87;-211.61343056507576;-214.74449585693068;-280.11435919710675
88;-385.5603885900517;-332.9233650475403;-280.11435919710675
89;-271.7396932681486;-364.264341270828;-280.11435919710675
90;-385.5603885900517;-160.05695350597898;-280.11435919710675
91;-277.3601337834807;-223.96905074271626;-347.04588689722607
92;-174.3774719457239;-434.32074078546975;-455.4713024746252
93;-251.77045136649244;-310.3286457782783;-487.1273752781999
94;-216.5931108742534;-245.32521829726738;-280.11435919710675
95;-277.3601337834807;-362.11894917651125;-651.1106988622079
96;-277.3601337834807;-175.21517524333953;-396.58993215018137
97;-248.67400773746976;-160.05695350597898;-670.4017928451922
98;-174.3774719457239;-285.9427086262913;-280.11435919710675
99;-222.3568069407514;-465.5885722240391;-418.67858166596005
100;-161.86586489443926;-160.05695350597898;-380.2703041403179
101;-166.42883840343256;-515.4713024746252;-399.8889035435077
102;-385.5603885900517;-397.7317007804456;-280.11435919710675
103;-248.67400773746976;-211.5017425137312;-570.0105692176203
104;-161.86586489443926;-317.0103279494001;-670.4017928451922
105;-222.3568069407514;-160.05695350597898;-455.4713024746252
106;-251.77045136649244;-160.05695350597898;-461.3337259932479
107;-161.86586489443926;-259.52750575396203;-449.42427246446414
108;-251.77045136649244;-160.05695350597898;-535.8767380446197
109;-456.15595969421094;-494.3606671743358;-280.11435919710675
110;-385.5603885900517;-241.11636934982516;-331.22263038932505
111;-277.3601337834807;-223.96905074271626;-280.11435919710675
112;-190.2350318186038;-184.84709033944068;-604.420531528744
113;-456.15595969421094;-224.02328883643563;-505.02024993174945
114;-277.3601337834807;-427.82078115811237;-535.8767380446197
115;-222.3568069407514;-349.6513900043892;-505.02024993174945
116;-222.3568069407514;-406.01377059920014;-505.02024993174945
117;-161.86586489443926;-541.1919427624438;-597.6015713287527
118;-277.3601337834807;-160.05695350597898;-306.1037163131332
119;-216.26901165942846;-167.10925215971506;-670.4017928451922
120;-385.5603885900517;-160.05695350597898;-505.02024993174945
121;-277.3601337834807;-170.9688128894186;-535.8767380446197
122;-456.15595969421094;-160.05695350597898;-280.11435919710675
123;-253.8510412230762;-220.75817439434059;-350.8224470653922
124;-222.3568069407514;-291.6226344223219;-280.11435919710675
125;-161.86586489443926;-346.5958199016186;-670.4017928451922
126;-277.3601337834807;-271.60442890528975;-570.0105692176203
127;-182.3568069407514;-536.6838545965408;-298.1300324934222
128;-456.15595969421094;-160.05695350597898;-280.11435919710675
129;-277.3601337834807;-190.59569345016916;-294.5027338514253
130;-169.7997839474725;-200.22311847932858;-439.8085154229441
131;-271.7396932681486;-160.05695350597898;-389.9508216555677
132;-251.77045136649244;-494.3606671743358;-367.8457527348066
133;-194.3501881563619;-229.58099734538746;-423.98287167132094
134;-277.3601337834807;-266.0694402514499;-505.02024993174945
135;-385.5603885900517;-337.09553681200424;-570.0105692176203
136;-477.95739321943864;-218.2014979459709;-526.657529828099
137;-237.43322123804262;-233.55787022561222;-280.11435919710675
138;-210.3187600068577;-494.3606671743358;-449.42427246446414
139;-163.16534970774228;-163.1746387159892;-280.11435919710675
140;-277.3601337834807;-427.82078115811237;-461.3337259932479
